#UPS-spectrum

#Date/time: 	2018-03-26__18-55-32


#AK pressure: 	8,74E-9 	mbar
#Pass energy: 	15.0 	eV
#Volt. bias: 	-15.0 	V
#Volt. lens: 	-15.0 	V
#Step width: 	20.0 	meV
#Counttime: 	200.0 	ms
#Vor: 	16.0 	V
#Nach: 	5.0 	V
#slope: 	0.613 	V/s
#offset: 	-48.850 	V


#Slope: 	72.7 	mV/s
#Counttime: 	200.0 	ms




#E_k 	 cps 	 Ana 	 Hemi 	 Hemo 	 EP 	 Mt + 	 + meas


20,874	000211	-21,200	-20,254	-21,871	14,674	211	05
20,883	000213	-21,185	-20,236	-21,855	14,698	213	05
20,863	000205	-21,167	-20,218	-21,837	14,695	205	05
20,843	000217	-21,149	-20,200	-21,819	14,694	217	05
20,822	000207	-21,130	-20,181	-21,800	14,692	207	05
20,807	000213	-21,111	-20,162	-21,781	14,696	213	05
20,779	000209	-21,086	-20,137	-21,756	14,693	209	05
20,810	000207	-21,067	-20,113	-21,737	14,743	207	05
20,745	000211	-21,049	-20,099	-21,718	14,696	211	05
20,725	000215	-21,029	-20,080	-21,699	14,695	215	05
20,703	000216	-21,010	-20,061	-21,680	14,693	216	05
20,686	000207	-20,991	-20,043	-21,662	14,694	207	05
20,663	000212	-20,966	-20,017	-21,636	14,697	212	05
20,643	000214	-20,947	-19,999	-21,618	14,696	214	05
20,628	000221	-20,928	-19,979	-21,599	14,699	221	05
20,609	000214	-20,909	-19,960	-21,579	14,700	214	05
20,642	000216	-20,890	-19,935	-21,560	14,752	216	05
20,571	000208	-20,872	-19,922	-21,541	14,700	208	05
20,548	000208	-20,846	-19,897	-21,517	14,702	208	05
20,525	000230	-20,827	-19,878	-21,497	14,698	230	05
20,510	000209	-20,808	-19,858	-21,478	14,702	209	05
20,489	000217	-20,789	-19,839	-21,459	14,699	217	05
20,469	000213	-20,770	-19,820	-21,440	14,699	213	05
20,454	000216	-20,751	-19,801	-21,421	14,703	216	05
20,485	000235	-20,732	-19,776	-21,402	14,753	235	05
20,412	000240	-20,707	-19,757	-21,377	14,705	240	05
20,389	000216	-20,688	-19,738	-21,357	14,701	216	05
20,379	000235	-20,669	-19,718	-21,339	14,710	235	05
20,357	000240	-20,650	-19,699	-21,320	14,707	240	05
20,332	000216	-20,631	-19,680	-21,300	14,701	216	05
20,320	000233	-20,612	-19,661	-21,282	14,708	233	05
20,296	000243	-20,586	-19,636	-21,256	14,709	243	05
20,330	000239	-20,568	-19,611	-21,237	14,762	239	05
20,256	000237	-20,549	-19,598	-21,219	14,708	237	05
20,239	000242	-20,530	-19,579	-21,200	14,709	242	05
20,218	000241	-20,511	-19,560	-21,181	14,707	241	05
20,204	000207	-20,492	-19,541	-21,162	14,712	207	04
20,180	000205	-20,467	-19,516	-21,137	14,714	205	04
20,162	000245	-20,448	-19,497	-21,118	14,714	245	05
20,143	000252	-20,429	-19,478	-21,099	14,713	252	05
20,175	000233	-20,410	-19,453	-21,080	14,764	233	05
20,105	000206	-20,391	-19,440	-21,061	14,713	206	04
20,086	000246	-20,373	-19,421	-21,043	14,713	246	05
20,060	000206	-20,348	-19,396	-21,017	14,712	206	05
