#XPS-spectrum

#Date/time: 		 2018-12-21__13-08-49


#AK pressure: 	4,36E-8 	 mbar
#Pass energy: 	82.1 		 eV
#Volt. bias: 	0.0 		 V
#E_Photon: 	1486.7 		 V
#I_Emission: 	12 		 mA
#V_Anode: 	12500 		 V
#Prevoltage: 	70 		 V
#Workfunction: 	4.7 		 eV
#Samples/eV: 	10 		 1/s
#TDAC: 	System.Windows.Forms.TextBox, Text: 1.207 		 V
#V_Lens: 	System.Windows.Forms.TextBox, Text: 3800 		 V
#Factor k: 	0.8 		 
#Slope: 	0.0125 		 Samples/eV
#V_Channelt.: 	2800 		 V
#Flow cooling: 	0,0 		 l/min
#Slit: 	C1 	




#E_bind 	 cps 	 E_kin 	 V_hemo


0064.182	9886	1417.818	-1348.059
0064.241	10177	1417.759	-1347.999
0064.241	10059	1417.759	-1347.999
0064.287	9945	1417.713	-1347.954
0064.369	10495	1417.631	-1347.871
0064.523	9900	1417.477	-1347.718
0064.722	10000	1417.278	-1347.519
0064.901	10136	1417.099	-1347.340
0065.023	10000	1416.977	-1347.218
0065.091	10218	1416.909	-1347.149
0065.162	9845	1416.838	-1347.078
0065.247	10795	1416.753	-1346.993
0065.353	10295	1416.647	-1346.888
0065.469	10045	1416.531	-1346.771
0065.594	10405	1416.406	-1346.646
0065.719	10509	1416.281	-1346.521
0065.827	10950	1416.173	-1346.413
0065.930	11155	1416.070	-1346.311
0066.029	10368	1415.971	-1346.211
0066.120	10295	1415.880	-1346.120
0066.228	10414	1415.772	-1346.012
0066.325	10441	1415.675	-1345.916
0066.421	10441	1415.579	-1345.819
0066.526	10800	1415.474	-1345.714
0066.634	11200	1415.366	-1345.606
0066.751	10491	1415.249	-1345.490
0066.876	10759	1415.124	-1345.364
0066.984	10805	1415.016	-1345.256
0067.092	11118	1414.908	-1345.148
0067.200	10977	1414.800	-1345.040
0067.300	11127	1414.700	-1344.941
0067.382	11032	1414.618	-1344.858
0067.479	10918	1414.521	-1344.762
0067.609	11195	1414.391	-1344.631
0067.726	11609	1414.274	-1344.515
0067.840	11582	1414.160	-1344.401
0067.950	11932	1414.050	-1344.290
0068.056	11986	1413.944	-1344.185
0068.155	12109	1413.845	-1344.085
0068.257	11955	1413.743	-1343.983
0068.354	12659	1413.646	-1343.887
0068.485	12636	1413.515	-1343.756
0068.667	13614	1413.333	-1343.574
0068.829	13677	1413.171	-1343.412
0068.948	14059	1413.052	-1343.292
0069.033	14141	1412.967	-1343.207
0069.113	14459	1412.887	-1343.128
0069.212	13845	1412.788	-1343.028
0069.318	14973	1412.682	-1342.923
0069.420	15745	1412.580	-1342.821
0069.531	15918	1412.469	-1342.710
0069.641	15295	1412.359	-1342.599
0069.755	16445	1412.245	-1342.485
0069.883	16277	1412.117	-1342.357
0069.971	16800	1412.029	-1342.269
0070.076	17323	1411.924	-1342.164
0070.179	17905	1411.821	-1342.062
0070.290	17623	1411.710	-1341.951
0070.389	18364	1411.611	-1341.851
0070.489	18259	1411.511	-1341.752
0070.611	18800	1411.389	-1341.630
0070.747	18641	1411.253	-1341.493
0070.858	19277	1411.142	-1341.383
0070.949	20155	1411.051	-1341.292
0071.057	19950	1410.943	-1341.183
0071.159	21218	1410.841	-1341.081
0071.267	20755	1410.733	-1340.973
0071.370	20618	1410.630	-1340.871
0071.478	21609	1410.522	-1340.763
0071.589	21668	1410.411	-1340.652
0071.705	21282	1410.295	-1340.535
0071.816	22141	1410.184	-1340.425
0071.918	22182	1410.082	-1340.322
0072.023	22091	1409.977	-1340.217
0072.117	22195	1409.883	-1340.123
0072.231	22468	1409.769	-1340.010
0072.322	22395	1409.678	-1339.919
0072.444	22659	1409.556	-1339.796
0072.592	22041	1409.408	-1339.649
0072.731	21905	1409.269	-1339.509
0072.856	22359	1409.144	-1339.384
0072.941	21641	1409.059	-1339.299
0073.035	22073	1408.965	-1339.205
0073.138	22700	1408.862	-1339.103
0073.243	22077	1408.757	-1338.998
0073.351	21864	1408.649	-1338.890
0073.459	21550	1408.541	-1338.782
0073.575	21105	1408.425	-1338.665
0073.683	21236	1408.317	-1338.557
0073.803	21027	1408.197	-1338.438
0073.894	21218	1408.106	-1338.347
0073.993	21577	1408.007	-1338.247
0074.098	20718	1407.902	-1338.142
0074.206	21168	1407.794	-1338.034
0074.309	21486	1407.691	-1337.932
0074.408	21259	1407.592	-1337.833
0074.510	21395	1407.490	-1337.730
0074.624	20345	1407.376	-1337.617
0074.729	20909	1407.271	-1337.511
0074.826	21182	1407.174	-1337.415
0074.951	21291	1407.049	-1337.290
0075.056	20877	1406.944	-1337.184
0075.164	21927	1406.836	-1337.076
0075.249	21364	1406.751	-1336.991
0075.357	20982	1406.643	-1336.883
0075.471	21009	1406.529	-1336.769
0075.590	20795	1406.410	-1336.650
0075.715	20632	1406.285	-1336.525
0075.815	21577	1406.185	-1336.426
0075.920	21764	1406.080	-1336.320
0076.020	21500	1405.980	-1336.221
0076.125	21300	1405.875	-1336.116
0076.219	21027	1405.781	-1336.022
0076.344	20391	1405.656	-1335.897
0076.528	20541	1405.472	-1335.712
0076.688	20782	1405.312	-1335.553
0076.810	20186	1405.190	-1335.431
0076.906	20300	1405.094	-1335.334
0076.975	19909	1405.025	-1335.266
0077.060	19986	1404.940	-1335.181
0077.168	19914	1404.832	-1335.073
0077.279	19350	1404.721	-1334.962
0077.384	19777	1404.616	-1334.857
0077.500	18936	1404.500	-1334.740
