#XPS-spectrum

#Date/time: 		 2018-12-21__13-11-06


#AK pressure: 	can 	 mbar
#Pass energy: 	43.3 		 eV
#Volt. bias: 	0.0 		 V
#E_Photon: 	1486.7 		 V
#I_Emission: 	12 		 mA
#V_Anode: 	12500 		 V
#Prevoltage: 	70 		 V
#Workfunction: 	4.7 		 eV
#Samples/eV: 	10 		 1/s
#TDAC: 	System.Windows.Forms.TextBox, Text: 1.207 		 V
#V_Lens: 	System.Windows.Forms.TextBox, Text: 3800 		 V
#Factor k: 	0.8 		 
#Slope: 	0.0125 		 Samples/eV
#V_Channelt.: 	2800 		 V
#Flow cooling: 	0,0 		 l/min
#Slit: 	C1 	




#E_bind 	 cps 	 E_kin 	 V_hemo


0064.129	4041	1417.871	-1381.066
0064.195	4186	1417.805	-1381.000
0064.197	4086	1417.803	-1380.998
0064.263	3936	1417.737	-1380.932
0064.382	4041	1417.618	-1380.813
0064.544	4273	1417.456	-1380.651
0064.689	4414	1417.311	-1380.506
0064.808	4018	1417.192	-1380.387
0064.902	4091	1417.098	-1380.293
0064.990	4114	1417.010	-1380.205
0065.084	4114	1416.916	-1380.111
0065.172	4232	1416.828	-1380.023
0065.286	4218	1416.714	-1379.909
0065.408	4123	1416.592	-1379.787
0065.519	4059	1416.481	-1379.676
0065.618	4145	1416.382	-1379.577
0065.729	4118	1416.271	-1379.466
0065.832	3991	1416.168	-1379.363
0065.934	3955	1416.066	-1379.261
0066.031	4186	1415.969	-1379.164
0066.144	3695	1415.856	-1379.051
0066.295	3795	1415.705	-1378.900
0066.460	3800	1415.540	-1378.735
0066.599	3855	1415.401	-1378.596
0066.687	3895	1415.313	-1378.508
0066.772	3973	1415.228	-1378.423
0066.863	3491	1415.137	-1378.332
0066.969	3891	1415.031	-1378.226
0067.085	3659	1414.915	-1378.110
0067.185	4009	1414.815	-1378.010
0067.301	3982	1414.699	-1377.894
0067.412	3718	1414.588	-1377.783
0067.520	3618	1414.480	-1377.675
0067.628	3786	1414.372	-1377.567
0067.727	3714	1414.273	-1377.468
0067.833	3891	1414.167	-1377.362
0067.938	3764	1414.062	-1377.257
0068.051	4173	1413.949	-1377.144
0068.148	4059	1413.852	-1377.047
0068.259	3895	1413.741	-1376.936
0068.373	3809	1413.627	-1376.822
0068.492	3891	1413.508	-1376.703
0068.594	3900	1413.406	-1376.601
0068.699	3995	1413.301	-1376.496
0068.805	4091	1413.195	-1376.390
0068.915	4186	1413.085	-1376.280
0069.012	4014	1412.988	-1376.183
0069.112	4055	1412.888	-1376.083
0069.222	4209	1412.778	-1375.973
0069.345	4027	1412.655	-1375.850
0069.464	3923	1412.536	-1375.731
0069.564	4291	1412.436	-1375.631
0069.669	3982	1412.331	-1375.526
0069.760	3895	1412.240	-1375.435
0069.862	3905	1412.138	-1375.333
0069.964	3900	1412.036	-1375.231
0070.075	3914	1411.925	-1375.120
0070.260	4082	1411.740	-1374.935
0070.439	4186	1411.561	-1374.756
0070.575	4073	1411.425	-1374.620
0070.658	4127	1411.342	-1374.537
0070.735	3818	1411.265	-1374.460
0070.823	4132	1411.177	-1374.372
0070.919	4245	1411.081	-1374.276
0071.041	4127	1410.959	-1374.154
0071.149	4177	1410.851	-1374.046
0071.269	4114	1410.731	-1373.926
0071.380	4241	1410.620	-1373.815
0071.490	4055	1410.510	-1373.705
0071.593	4073	1410.407	-1373.602
0071.695	4505	1410.305	-1373.500
0071.789	4505	1410.211	-1373.406
0071.903	4473	1410.097	-1373.292
0072.016	4464	1409.984	-1373.179
0072.116	4600	1409.884	-1373.079
0072.235	4673	1409.765	-1372.960
0072.363	4768	1409.637	-1372.832
0072.485	5241	1409.515	-1372.710
0072.599	5309	1409.401	-1372.596
0072.696	5259	1409.304	-1372.499
0072.795	5350	1409.205	-1372.400
0072.903	5764	1409.097	-1372.292
0072.994	6145	1409.006	-1372.201
0073.108	6150	1408.892	-1372.087
0073.219	6136	1408.781	-1371.976
0073.321	6359	1408.679	-1371.874
0073.432	6855	1408.568	-1371.763
0073.543	6291	1408.457	-1371.652
0073.639	6695	1408.361	-1371.556
0073.750	6655	1408.250	-1371.445
0073.852	7009	1408.148	-1371.343
0073.946	7232	1408.054	-1371.249
0074.046	7491	1407.954	-1371.149
0074.196	7032	1407.804	-1370.999
0074.353	7359	1407.647	-1370.842
0074.483	7486	1407.517	-1370.712
0074.569	7555	1407.431	-1370.626
0074.671	7441	1407.329	-1370.524
0074.768	7782	1407.232	-1370.427
0074.870	8014	1407.130	-1370.325
0074.969	8391	1407.031	-1370.226
0075.080	8664	1406.920	-1370.115
0075.191	9009	1406.809	-1370.004
0075.310	8555	1406.690	-1369.885
0075.427	9259	1406.573	-1369.768
0075.529	9186	1406.471	-1369.666
0075.629	9550	1406.371	-1369.566
0075.731	9541	1406.269	-1369.464
0075.839	9005	1406.161	-1369.356
0075.939	9314	1406.061	-1369.256
0076.024	9441	1405.976	-1369.171
0076.126	9532	1405.874	-1369.069
0076.248	9273	1405.752	-1368.947
0076.368	9314	1405.632	-1368.827
0076.473	8950	1405.527	-1368.722
0076.584	8705	1405.416	-1368.611
0076.689	8623	1405.311	-1368.506
0076.794	8382	1405.206	-1368.401
0076.882	8341	1405.118	-1368.313
0076.987	8341	1405.013	-1368.208
0077.098	8145	1404.902	-1368.097
0077.218	8145	1404.782	-1367.977
0077.331	8127	1404.669	-1367.864
0077.439	7964	1404.561	-1367.756
0077.533	7541	1404.467	-1367.662
0077.633	7941	1404.367	-1367.562
0077.741	7632	1404.259	-1367.454
0077.840	7468	1404.160	-1367.355
0077.954	7591	1404.046	-1367.241
0078.139	7423	1403.861	-1367.056
0078.318	7423	1403.682	-1366.877
0078.443	7709	1403.557	-1366.752
0078.531	7773	1403.469	-1366.664
0078.602	7900	1403.398	-1366.593
0078.684	8191	1403.316	-1366.511
0078.787	8477	1403.213	-1366.408
0078.903	8586	1403.097	-1366.292
0079.017	8818	1402.983	-1366.178
0079.133	8855	1402.867	-1366.062
0079.255	8918	1402.745	-1365.940
0079.369	9023	1402.631	-1365.826
0079.457	9173	1402.543	-1365.738
0079.560	8827	1402.440	-1365.635
0079.662	9164	1402.338	-1365.533
0079.773	9218	1402.227	-1365.422
0079.869	8759	1402.131	-1365.326
0079.972	8623	1402.028	-1365.223
0080.117	8373	1401.883	-1365.078
0080.247	7959	1401.753	-1364.948
0080.381	7709	1401.619	-1364.814
0080.486	7609	1401.514	-1364.709
0080.574	7541	1401.426	-1364.621
0080.674	7373	1401.326	-1364.521
0080.773	7136	1401.227	-1364.422
0080.884	6645	1401.116	-1364.311
0080.972	7014	1401.028	-1364.223
0081.083	6473	1400.917	-1364.112
0081.202	6518	1400.798	-1363.993
0081.322	6805	1400.678	-1363.873
0081.418	6468	1400.582	-1363.777
0081.526	6564	1400.474	-1363.669
0081.634	6855	1400.366	-1363.561
0081.734	6682	1400.266	-1363.461
0081.828	6659	1400.172	-1363.367
0081.950	6864	1400.050	-1363.245
0082.106	6859	1399.894	-1363.089
0082.254	7232	1399.746	-1362.941
0082.382	7236	1399.618	-1362.813
0082.479	7609	1399.521	-1362.716
0082.561	7523	1399.439	-1362.634
0082.646	7791	1399.354	-1362.549
0082.751	7973	1399.249	-1362.444
0082.865	8132	1399.135	-1362.330
0082.967	8255	1399.033	-1362.228
0083.078	8623	1398.922	-1362.117
0083.201	9082	1398.799	-1361.994
0083.311	9891	1398.689	-1361.884
0083.408	9759	1398.592	-1361.787
0083.513	10823	1398.487	-1361.682
0083.624	11027	1398.376	-1361.571
0083.726	12350	1398.274	-1361.469
0083.812	13523	1398.188	-1361.383
0083.908	14659	1398.092	-1361.287
0084.022	16850	1397.978	-1361.173
0084.144	19564	1397.856	-1361.051
0084.255	22991	1397.745	-1360.940
0084.366	25823	1397.634	-1360.829
0084.474	29877	1397.526	-1360.721
0084.579	34695	1397.421	-1360.616
0084.687	38595	1397.313	-1360.508
0084.792	42114	1397.208	-1360.403
0084.878	47427	1397.122	-1360.317
0084.994	51018	1397.006	-1360.201
0085.113	55791	1396.887	-1360.082
0085.221	60464	1396.779	-1359.974
0085.327	62868	1396.673	-1359.868
0085.435	64427	1396.565	-1359.760
0085.543	65714	1396.457	-1359.652
0085.648	66386	1396.352	-1359.547
0085.730	66068	1396.270	-1359.465
0085.858	64527	1396.142	-1359.337
0086.032	59777	1395.968	-1359.163
0086.202	52632	1395.798	-1358.993
0086.333	48645	1395.667	-1358.862
0086.421	45582	1395.579	-1358.774
0086.495	41332	1395.505	-1358.700
0086.594	38614	1395.406	-1358.601
0086.697	34732	1395.303	-1358.498
0086.802	31505	1395.198	-1358.393
0086.901	29159	1395.099	-1358.294
0087.021	27100	1394.979	-1358.174
0087.134	24727	1394.866	-1358.061
0087.245	23305	1394.755	-1357.950
0087.342	23132	1394.658	-1357.853
0087.447	22645	1394.553	-1357.748
0087.552	23100	1394.448	-1357.643
0087.660	22427	1394.340	-1357.535
0087.768	23986	1394.232	-1357.427
0087.868	25541	1394.132	-1357.327
0087.984	26909	1394.016	-1357.211
0088.106	30018	1393.894	-1357.089
0088.231	33705	1393.769	-1356.964
0088.339	35618	1393.661	-1356.856
0088.442	39423	1393.558	-1356.753
0088.541	42936	1393.459	-1356.654
0088.649	45541	1393.351	-1356.546
0088.746	48800	1393.254	-1356.449
0088.831	51805	1393.169	-1356.364
0088.959	54200	1393.041	-1356.236
0089.073	55600	1392.927	-1356.122
0089.183	57055	1392.817	-1356.012
0089.286	56255	1392.714	-1355.909
0089.405	57768	1392.595	-1355.790
0089.502	55564	1392.498	-1355.693
0089.598	54573	1392.402	-1355.597
0089.692	52832	1392.308	-1355.503
0089.815	49136	1392.185	-1355.380
0089.968	44877	1392.032	-1355.227
0090.104	41223	1391.896	-1355.091
0090.232	36818	1391.768	-1354.963
0090.320	33327	1391.680	-1354.875
0090.414	30577	1391.586	-1354.781
0090.519	28395	1391.481	-1354.676
0090.622	25923	1391.378	-1354.573
0090.718	23886	1391.282	-1354.477
0090.826	21982	1391.174	-1354.369
0090.943	20818	1391.057	-1354.252
0091.051	19850	1390.949	-1354.144
0091.159	18505	1390.841	-1354.036
0091.264	18268	1390.736	-1353.931
0091.366	17995	1390.634	-1353.829
0091.474	16959	1390.526	-1353.721
0091.577	16677	1390.423	-1353.618
0091.679	16605	1390.321	-1353.516
0091.761	16627	1390.239	-1353.434
0091.852	16109	1390.148	-1353.343
0091.966	15209	1390.034	-1353.229
0092.097	14832	1389.903	-1353.098
0092.202	15023	1389.798	-1352.993
0092.310	14968	1389.690	-1352.885
0092.421	14105	1389.579	-1352.774
0092.529	14450	1389.471	-1352.666
0092.626	14627	1389.374	-1352.569
0092.708	14441	1389.292	-1352.487
0092.830	13882	1389.170	-1352.365
0092.944	13595	1389.056	-1352.251
0093.057	13927	1388.943	-1352.138
0093.157	13336	1388.843	-1352.038
0093.262	13586	1388.738	-1351.933
0093.359	12864	1388.641	-1351.836
0093.464	12977	1388.536	-1351.731
0093.566	13227	1388.434	-1351.629
0093.691	13250	1388.309	-1351.504
0093.873	12795	1388.127	-1351.322
0094.047	13218	1387.953	-1351.148
0094.169	12900	1387.831	-1351.026
0094.251	12718	1387.749	-1350.944
0094.331	12777	1387.669	-1350.864
0094.422	13141	1387.578	-1350.773
0094.530	13045	1387.470	-1350.665
0094.632	13005	1387.368	-1350.563
0094.746	13032	1387.254	-1350.449
0094.865	12727	1387.135	-1350.330
0094.982	12755	1387.018	-1350.213
0095.087	13009	1386.913	-1350.108
0095.184	12741	1386.816	-1350.011
0095.292	13009	1386.708	-1349.903
0095.397	12805	1386.603	-1349.798
0095.502	13109	1386.498	-1349.693
0095.601	12627	1386.399	-1349.594
0095.709	13055	1386.291	-1349.486
0095.843	12918	1386.157	-1349.352
0095.982	13223	1386.018	-1349.213
0096.099	12632	1385.901	-1349.096
0096.187	12682	1385.813	-1349.008
0096.286	12695	1385.714	-1348.909
0096.391	13077	1385.609	-1348.804
