#UPS-spectrum

#Date/time: 	2018-03-26__17-34-57


#AK pressure: 	8,69E-9 	mbar
#Pass energy: 	15.0 	eV
#Volt. bias: 	-15.0 	V
#Volt. lens: 	-15.0 	V
#Step width: 	20.0 	meV
#Counttime: 	200.0 	ms
#Vor: 	16.0 	V
#Nach: 	5.0 	V
#slope: 	0.613 	V/s
#offset: 	-48.850 	V


#Slope: 	72.7 	mV/s
#Counttime: 	200.0 	ms




#E_k 	 cps 	 Ana 	 Hemi 	 Hemo 	 EP 	 Mt + 	 + meas


21,093	000000	-21,170	-20,225	-21,870	14,923	208	12
21,077	000000	-21,151	-20,206	-21,851	14,927	207	11
21,054	000000	-21,126	-20,181	-21,826	14,929	207	11
21,033	000000	-21,107	-20,162	-21,807	14,926	208	11
21,015	000000	-21,089	-20,144	-21,788	14,926	207	11
20,996	000000	-21,070	-20,125	-21,769	14,926	209	11
20,980	000000	-21,051	-20,107	-21,751	14,929	224	12
20,965	000000	-21,033	-20,087	-21,733	14,933	208	13
20,936	000000	-21,008	-20,063	-21,708	14,928	217	12
20,917	000000	-20,989	-20,045	-21,689	14,928	207	10
20,900	000000	-20,971	-20,026	-21,671	14,929	206	10
20,881	000000	-20,953	-20,008	-21,652	14,928	224	11
20,864	000000	-20,934	-19,989	-21,634	14,930	218	11
20,844	000000	-20,915	-19,970	-21,615	14,928	206	10
20,820	000000	-20,891	-19,945	-21,590	14,929	207	10
20,801	000000	-20,872	-19,927	-21,572	14,929	219	11
20,792	000000	-20,854	-19,908	-21,553	14,938	206	10
20,766	000000	-20,835	-19,890	-21,535	14,931	218	11
20,748	000000	-20,817	-19,871	-21,517	14,931	204	10
20,728	000000	-20,798	-19,853	-21,498	14,930	209	10
20,704	000000	-20,774	-19,828	-21,473	14,930	223	11
20,686	000000	-20,755	-19,810	-21,455	14,931	206	10
20,669	000000	-20,736	-19,791	-21,436	14,933	223	11
20,648	000000	-20,718	-19,772	-21,417	14,930	215	11
20,632	000000	-20,700	-19,754	-21,399	14,932	218	11
20,611	000000	-20,681	-19,735	-21,380	14,930	224	11
20,588	000000	-20,656	-19,710	-21,355	14,932	220	11
20,569	000000	-20,638	-19,691	-21,336	14,932	222	11
20,553	000000	-20,619	-19,673	-21,318	14,934	222	11
20,536	000000	-20,601	-19,654	-21,299	14,935	222	12
20,515	000000	-20,582	-19,636	-21,281	14,934	216	13
20,497	000000	-20,563	-19,617	-21,262	14,934	219	11
20,473	000000	-20,538	-19,592	-21,237	14,935	220	11
20,460	000000	-20,519	-19,572	-21,218	14,941	222	12
20,435	000000	-20,501	-19,554	-21,200	14,935	221	11
20,417	000000	-20,482	-19,535	-21,181	14,935	222	11
20,398	000000	-20,463	-19,517	-21,162	14,934	222	11
20,379	000000	-20,445	-19,498	-21,143	14,935	222	11
