#UPS-spectrum

#Date/time: 	2018-03-26__17-17-50


#AK pressure: 	8,74E-9 	mbar
#Pass energy: 	15.0 	eV
#Volt. bias: 	-15.0 	V
#Volt. lens: 	-15.0 	V
#Step width: 	20.0 	meV
#Counttime: 	200.0 	ms
#Vor: 	16.0 	V
#Nach: 	5.0 	V
#slope: 	0.613 	V/s
#offset: 	-48.850 	V


#Slope: 	72.7 	mV/s
#Counttime: 	200.0 	ms




#E_k 	 cps 	 Ana 	 Hemi 	 Hemo 	 EP 	 Mt + 	 + meas


21,167	000000	-21,168	-20,219	-21,871	14,999	206	17
21,153	000000	-21,149	-20,200	-21,853	15,004	209	17
21,132	000000	-21,131	-20,181	-21,834	15,001	209	17
21,120	000000	-21,112	-20,162	-21,815	15,008	212	17
21,094	000000	-21,093	-20,143	-21,796	15,001	208	17
21,079	000000	-21,074	-20,124	-21,777	15,005	209	17
21,062	000000	-21,056	-20,106	-21,759	15,006	210	17
21,038	000000	-21,032	-20,081	-21,735	15,007	208	17
21,015	000000	-21,013	-20,063	-21,716	15,003	210	17
21,001	000000	-20,994	-20,044	-21,698	15,006	207	17
20,979	000000	-20,976	-20,026	-21,679	15,003	216	17
20,969	000000	-20,958	-20,007	-21,661	15,011	217	19
20,943	000000	-20,939	-19,989	-21,642	15,004	212	19
20,918	000000	-20,914	-19,964	-21,617	15,004	211	19
20,901	000000	-20,896	-19,945	-21,598	15,005	209	19
20,884	000000	-20,877	-19,927	-21,580	15,007	213	19
20,868	000000	-20,859	-19,908	-21,562	15,009	211	19
20,847	000000	-20,840	-19,889	-21,543	15,007	210	19
20,828	000000	-20,822	-19,871	-21,524	15,006	209	19
20,803	000000	-20,797	-19,846	-21,499	15,006	204	18
20,786	000000	-20,778	-19,828	-21,481	15,008	212	19
20,766	000000	-20,760	-19,809	-21,463	15,006	208	19
20,750	000000	-20,741	-19,791	-21,444	15,008	209	19
20,730	000000	-20,723	-19,772	-21,425	15,006	209	19
20,714	000000	-20,705	-19,753	-21,407	15,010	209	19
20,690	000000	-20,680	-19,728	-21,382	15,010	209	19
20,670	000000	-20,662	-19,710	-21,363	15,008	209	19
20,654	000000	-20,643	-19,691	-21,345	15,011	209	19
20,633	000000	-20,624	-19,672	-21,326	15,009	205	18
20,616	000000	-20,605	-19,654	-21,307	15,011	211	19
20,596	000000	-20,587	-19,635	-21,289	15,010	209	19
20,573	000000	-20,562	-19,610	-21,264	15,011	208	19
20,554	000000	-20,543	-19,591	-21,245	15,011	209	19
20,536	000000	-20,524	-19,572	-21,226	15,012	209	19
20,515	000000	-20,505	-19,553	-21,207	15,010	209	19
20,500	000000	-20,487	-19,535	-21,189	15,014	207	19
20,477	000000	-20,468	-19,516	-21,170	15,009	210	19
20,452	000000	-20,443	-19,491	-21,145	15,009	212	19
20,437	000000	-20,424	-19,472	-21,126	15,012	211	19
20,416	000000	-20,406	-19,454	-21,107	15,011	209	19
20,400	000000	-20,387	-19,434	-21,089	15,013	209	19
20,379	000000	-20,368	-19,416	-21,070	15,011	211	19
20,363	000000	-20,349	-19,397	-21,051	15,013	210	19
20,341	000000	-20,331	-19,379	-21,032	15,010	209	19
20,318	000000	-20,306	-19,353	-21,007	15,012	209	19
20,301	000000	-20,287	-19,334	-20,988	15,015	209	19
20,282	000000	-20,268	-19,315	-20,970	15,013	205	18
20,269	000000	-20,250	-19,296	-20,951	15,019	212	19
20,246	000000	-20,231	-19,279	-20,933	15,015	210	19
20,228	000000	-20,213	-19,260	-20,914	15,015	210	19
20,203	000000	-20,188	-19,235	-20,889	15,016	213	19
20,186	000000	-20,169	-19,216	-20,871	15,017	209	19
20,165	000000	-20,151	-19,198	-20,852	15,014	212	19
20,149	000000	-20,132	-19,179	-20,834	15,017	214	19
20,127	000000	-20,113	-19,161	-20,815	15,014	205	18
20,113	000000	-20,095	-19,141	-20,796	15,018	209	18
20,091	000000	-20,070	-19,116	-20,771	15,021	215	19
20,067	000000	-20,052	-19,098	-20,752	15,015	206	18
20,052	000000	-20,033	-19,080	-20,734	15,019	207	18
20,037	000000	-20,015	-19,061	-20,716	15,022	211	18
20,018	000000	-19,996	-19,042	-20,697	15,023	205	17
20,000	000000	-19,977	-19,024	-20,679	15,022	215	18
19,975	000000	-19,953	-18,999	-20,655	15,022	206	17
19,955	000000	-19,934	-18,981	-20,636	15,021	208	17
19,939	000000	-19,916	-18,962	-20,617	15,023	212	17
19,920	000000	-19,897	-18,943	-20,598	15,023	210	17
19,898	000000	-19,879	-18,925	-20,580	15,019	210	17
19,879	000000	-19,860	-18,907	-20,561	15,019	207	17
19,852	000000	-19,835	-18,882	-20,536	15,017	208	17
19,837	000000	-19,816	-18,863	-20,518	15,020	209	17
19,816	000000	-19,798	-18,845	-20,499	15,018	209	17
19,799	000000	-19,779	-18,826	-20,480	15,020	210	17
19,780	000000	-19,761	-18,807	-20,462	15,019	209	17
19,766	000000	-19,742	-18,788	-20,443	15,024	209	17
19,737	000000	-19,717	-18,763	-20,418	15,020	208	18
19,719	000000	-19,698	-18,744	-20,399	15,022	214	19
19,701	000000	-19,679	-18,726	-20,381	15,021	210	19
19,682	000000	-19,661	-18,707	-20,362	15,021	208	19
19,663	000000	-19,642	-18,688	-20,343	15,021	208	19
19,645	000000	-19,624	-18,670	-20,325	15,022	210	19
19,626	000000	-19,605	-18,651	-20,306	15,021	210	19
19,600	000000	-19,581	-18,627	-20,282	15,020	210	19
19,583	000000	-19,562	-18,608	-20,263	15,021	207	18
19,563	000000	-19,544	-18,590	-20,245	15,019	209	19
19,548	000000	-19,525	-18,571	-20,226	15,024	209	19
19,528	000000	-19,506	-18,552	-20,207	15,022	209	19
19,512	000000	-19,487	-18,533	-20,188	15,025	209	19
19,489	000000	-19,463	-18,508	-20,164	15,026	209	19
